2023-11-09 06:22:00 - Device: Living room Light, Status: True, Brightness: 87%
2023-11-09 06:25:38 - Device: Living room Thermostat, Status: True, Temperature: 71C
2023-11-09 06:25:38 - Device: Living room Light, Status: True, Brightness: 20%
2023-11-09 06:25:38 - Device: Living room Thermostat, Status: True, Temperature: 24C
2023-11-09 06:25:38 - Device: Living room Light, Status: True, Brightness: 20%
2023-11-09 06:25:38 - Device: Living room Thermostat, Status: True, Temperature: 24C
2023-11-09 06:25:38 - Device: Living room Light, Status: True, Brightness: 72%
2023-11-09 06:25:38 - Device: Living room Thermostat, Status: True, Temperature: 26C
2023-11-09 06:25:39 - Device: Living room Light, Status: True, Brightness: 72%
2023-11-09 06:25:39 - Device: Living room Thermostat, Status: True, Temperature: 26C
2023-11-09 06:25:39 - Device: Living room Light, Status: True, Brightness: 80%
2023-11-09 06:25:39 - Device: Living room Thermostat, Status: True, Temperature: 28C
2023-11-09 06:25:39 - Device: Living room Light, Status: True, Brightness: 80%
2023-11-09 06:25:39 - Device: Living room Thermostat, Status: True, Temperature: 28C
2023-11-09 06:25:40 - Device: Living room Light, Status: True, Brightness: 46%
2023-11-09 06:25:40 - Device: Living room Thermostat, Status: True, Temperature: 64C
2023-11-09 06:25:40 - Device: Living room Light, Status: True, Brightness: 46%
2023-11-09 06:25:40 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:40 - Device: Living room Light, Status: True, Brightness: 41%
2023-11-09 06:25:40 - Device: Living room Thermostat, Status: True, Temperature: 73C
2023-11-09 06:25:40 - Device: Living room Light, Status: True, Brightness: 41%
2023-11-09 06:25:40 - Device: Living room Thermostat, Status: True, Temperature: 73C
2023-11-09 06:25:41 - Device: Living room Light, Status: True, Brightness: 8%
2023-11-09 06:25:41 - Device: Living room Thermostat, Status: True, Temperature: 94C
2023-11-09 06:25:41 - Device: Living room Light, Status: True, Brightness: 8%
2023-11-09 06:25:41 - Device: Living room Thermostat, Status: True, Temperature: 94C
2023-11-09 06:25:41 - Device: Living room Light, Status: True, Brightness: 1%
2023-11-09 06:25:41 - Device: Living room Thermostat, Status: True, Temperature: 25C
2023-11-09 06:25:41 - Device: Living room Light, Status: True, Brightness: 1%
2023-11-09 06:25:41 - Device: Living room Thermostat, Status: True, Temperature: 25C
2023-11-09 06:25:41 - Device: Living room Light, Status: True, Brightness: 45%
2023-11-09 06:25:41 - Device: Living room Thermostat, Status: True, Temperature: 10C
2023-11-09 06:25:41 - Device: Living room Light, Status: True, Brightness: 45%
2023-11-09 06:25:41 - Device: Living room Thermostat, Status: True, Temperature: 10C
2023-11-09 06:25:42 - Device: Living room Light, Status: True, Brightness: 39%
2023-11-09 06:25:42 - Device: Living room Thermostat, Status: True, Temperature: 34C
2023-11-09 06:25:42 - Device: Living room Light, Status: True, Brightness: 39%
2023-11-09 06:25:42 - Device: Living room Thermostat, Status: True, Temperature: 34C
2023-11-09 06:25:42 - Device: Living room Light, Status: True, Brightness: 33%
2023-11-09 06:25:42 - Device: Living room Thermostat, Status: True, Temperature: 84C
2023-11-09 06:25:42 - Device: Living room Light, Status: True, Brightness: 33%
2023-11-09 06:25:42 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:42 - Device: Living room Light, Status: True, Brightness: 9%
2023-11-09 06:25:42 - Device: Living room Thermostat, Status: True, Temperature: 52C
2023-11-09 06:25:42 - Device: Living room Light, Status: True, Brightness: 9%
2023-11-09 06:25:42 - Device: Living room Thermostat, Status: True, Temperature: 52C
2023-11-09 06:25:43 - Device: Living room Light, Status: True, Brightness: 83%
2023-11-09 06:25:43 - Device: Living room Thermostat, Status: True, Temperature: 91C
2023-11-09 06:25:43 - Device: Living room Light, Status: True, Brightness: 83%
2023-11-09 06:25:43 - Device: Living room Thermostat, Status: True, Temperature: 91C
2023-11-09 06:25:43 - Device: Living room Light, Status: True, Brightness: 31%
2023-11-09 06:25:43 - Device: Living room Thermostat, Status: True, Temperature: 89C
2023-11-09 06:25:43 - Device: Living room Light, Status: True, Brightness: 31%
2023-11-09 06:25:43 - Device: Living room Thermostat, Status: True, Temperature: 89C
2023-11-09 06:25:43 - Device: Living room Light, Status: True, Brightness: 4%
2023-11-09 06:25:43 - Device: Living room Thermostat, Status: True, Temperature: 19C
2023-11-09 06:25:43 - Device: Living room Light, Status: True, Brightness: 4%
2023-11-09 06:25:43 - Device: Living room Thermostat, Status: True, Temperature: 19C
2023-11-09 06:25:44 - Device: Living room Light, Status: True, Brightness: 10%
2023-11-09 06:25:44 - Device: Living room Thermostat, Status: True, Temperature: 10C
2023-11-09 06:25:44 - Device: Living room Light, Status: True, Brightness: 10%
2023-11-09 06:25:44 - Device: Living room Thermostat, Status: True, Temperature: 10C
2023-11-09 06:25:44 - Device: Living room Light, Status: True, Brightness: 61%
2023-11-09 06:25:44 - Device: Living room Thermostat, Status: True, Temperature: 16C
2023-11-09 06:25:44 - Device: Living room Light, Status: True, Brightness: 61%
2023-11-09 06:25:44 - Device: Living room Thermostat, Status: True, Temperature: 16C
2023-11-09 06:25:44 - Device: Living room Light, Status: True, Brightness: 67%
2023-11-09 06:25:44 - Device: Living room Thermostat, Status: True, Temperature: 79C
2023-11-09 06:25:44 - Device: Living room Light, Status: True, Brightness: 67%
2023-11-09 06:25:44 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:45 - Device: Living room Light, Status: True, Brightness: 81%
2023-11-09 06:25:45 - Device: Living room Thermostat, Status: True, Temperature: 70C
2023-11-09 06:25:45 - Device: Living room Light, Status: True, Brightness: 81%
2023-11-09 06:25:45 - Device: Living room Thermostat, Status: True, Temperature: 70C
2023-11-09 06:25:45 - Device: Living room Light, Status: True, Brightness: 28%
2023-11-09 06:25:45 - Device: Living room Thermostat, Status: True, Temperature: 29C
2023-11-09 06:25:45 - Device: Living room Light, Status: True, Brightness: 28%
2023-11-09 06:25:45 - Device: Living room Thermostat, Status: True, Temperature: 29C
2023-11-09 06:25:45 - Device: Living room Light, Status: True, Brightness: 58%
2023-11-09 06:25:45 - Device: Living room Thermostat, Status: True, Temperature: 21C
2023-11-09 06:25:45 - Device: Living room Light, Status: True, Brightness: 58%
2023-11-09 06:25:45 - Device: Living room Thermostat, Status: True, Temperature: 21C
2023-11-09 06:25:46 - Device: Living room Light, Status: True, Brightness: 81%
2023-11-09 06:25:46 - Device: Living room Thermostat, Status: True, Temperature: 49C
2023-11-09 06:25:46 - Device: Living room Light, Status: True, Brightness: 81%
2023-11-09 06:25:46 - Device: Living room Thermostat, Status: True, Temperature: 49C
2023-11-09 06:25:46 - Device: Living room Light, Status: True, Brightness: 80%
2023-11-09 06:25:46 - Device: Living room Thermostat, Status: True, Temperature: 95C
2023-11-09 06:25:46 - Device: Living room Light, Status: True, Brightness: 80%
2023-11-09 06:25:46 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:47 - Device: Living room Light, Status: True, Brightness: 23%
2023-11-09 06:25:47 - Device: Living room Thermostat, Status: True, Temperature: 34C
2023-11-09 06:25:47 - Device: Living room Light, Status: True, Brightness: 23%
2023-11-09 06:25:47 - Device: Living room Thermostat, Status: True, Temperature: 34C
2023-11-09 06:25:47 - Device: Living room Light, Status: True, Brightness: 30%
2023-11-09 06:25:47 - Device: Living room Thermostat, Status: True, Temperature: 60C
2023-11-09 06:25:48 - Device: Living room Light, Status: True, Brightness: 30%
2023-11-09 06:25:48 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:48 - Device: Living room Light, Status: True, Brightness: 9%
2023-11-09 06:25:48 - Device: Living room Thermostat, Status: True, Temperature: 17C
2023-11-09 06:25:48 - Device: Living room Light, Status: True, Brightness: 9%
2023-11-09 06:25:48 - Device: Living room Thermostat, Status: True, Temperature: 17C
2023-11-09 06:25:48 - Device: Living room Light, Status: True, Brightness: 3%
2023-11-09 06:25:48 - Device: Living room Thermostat, Status: True, Temperature: 94C
2023-11-09 06:25:48 - Device: Living room Light, Status: True, Brightness: 3%
2023-11-09 06:25:48 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:48 - Device: Living room Light, Status: True, Brightness: 55%
2023-11-09 06:25:48 - Device: Living room Thermostat, Status: True, Temperature: 65C
2023-11-09 06:25:49 - Device: Living room Light, Status: True, Brightness: 55%
2023-11-09 06:25:49 - Device: Living room Thermostat, Status: True, Temperature: 65C
2023-11-09 06:25:49 - Device: Living room Light, Status: True, Brightness: 54%
2023-11-09 06:25:49 - Device: Living room Thermostat, Status: True, Temperature: 45C
2023-11-09 06:25:49 - Device: Living room Light, Status: True, Brightness: 54%
2023-11-09 06:25:49 - Device: Living room Thermostat, Status: True, Temperature: 45C
2023-11-09 06:25:49 - Device: Living room Light, Status: True, Brightness: 61%
2023-11-09 06:25:49 - Device: Living room Thermostat, Status: True, Temperature: 13C
2023-11-09 06:25:49 - Device: Living room Light, Status: True, Brightness: 61%
2023-11-09 06:25:49 - Device: Living room Thermostat, Status: True, Temperature: 13C
2023-11-09 06:25:50 - Device: Living room Light, Status: True, Brightness: 41%
2023-11-09 06:25:50 - Device: Living room Thermostat, Status: True, Temperature: 14C
2023-11-09 06:25:50 - Device: Living room Light, Status: True, Brightness: 41%
2023-11-09 06:25:50 - Device: Living room Thermostat, Status: True, Temperature: 14C
2023-11-09 06:25:50 - Device: Living room Light, Status: True, Brightness: 81%
2023-11-09 06:25:50 - Device: Living room Thermostat, Status: True, Temperature: 46C
2023-11-09 06:25:50 - Device: Living room Light, Status: True, Brightness: 81%
2023-11-09 06:25:50 - Device: Living room Thermostat, Status: True, Temperature: 46C
2023-11-09 06:25:50 - Device: Living room Light, Status: True, Brightness: 69%
2023-11-09 06:25:50 - Device: Living room Thermostat, Status: True, Temperature: 60C
2023-11-09 06:25:51 - Device: Living room Light, Status: True, Brightness: 69%
2023-11-09 06:25:51 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:51 - Device: Living room Light, Status: True, Brightness: 47%
2023-11-09 06:25:51 - Device: Living room Thermostat, Status: True, Temperature: 85C
2023-11-09 06:25:51 - Device: Living room Light, Status: True, Brightness: 47%
2023-11-09 06:25:51 - Device: Living room Thermostat, Status: True, Temperature: 85C
2023-11-09 06:25:51 - Device: Living room Light, Status: True, Brightness: 13%
2023-11-09 06:25:51 - Device: Living room Thermostat, Status: True, Temperature: 95C
2023-11-09 06:25:51 - Device: Living room Light, Status: True, Brightness: 13%
2023-11-09 06:25:51 - Device: Living room Thermostat, Status: True, Temperature: 95C
2023-11-09 06:25:52 - Device: Living room Light, Status: True, Brightness: 25%
2023-11-09 06:25:52 - Device: Living room Thermostat, Status: True, Temperature: 27C
2023-11-09 06:25:52 - Device: Living room Light, Status: True, Brightness: 25%
2023-11-09 06:25:52 - Device: Living room Thermostat, Status: True, Temperature: 27C
2023-11-09 06:25:52 - Device: Living room Light, Status: True, Brightness: 57%
2023-11-09 06:25:52 - Device: Living room Thermostat, Status: True, Temperature: 97C
2023-11-09 06:25:52 - Device: Living room Light, Status: True, Brightness: 57%
2023-11-09 06:25:52 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:54 - Device: Living room Light, Status: True, Brightness: 65%
2023-11-09 06:25:54 - Device: Living room Thermostat, Status: True, Temperature: 22C
2023-11-09 06:25:56 - Device: Living room Light, Status: True, Brightness: 65%
2023-11-09 06:25:56 - Device: Living room Thermostat, Status: True, Temperature: 22C
2023-11-09 06:25:56 - Device: Living room Light, Status: True, Brightness: 23%
2023-11-09 06:25:56 - Device: Living room Thermostat, Status: True, Temperature: 20C
2023-11-09 06:32:36 - Device: Living room Light, Status: True, Brightness: 79%
2023-11-09 06:32:36 - Device: Living room Thermostat, Status: False, Temperature: 72C
2023-11-09 06:32:36 - Device: Living room Light, Status: False, Brightness: 0%
2023-11-09 06:32:36 - Device: Living room Thermostat, Status: False, Temperature: 72C
2023-11-09 06:32:41 - Device: Living room Light, Status: True, Brightness: 67%
2023-11-09 06:32:41 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:32:41 - Device: Living room Light, Status: False, Brightness: 0%
2023-11-09 06:32:41 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:32:41 - Device: Living room Light, Status: True, Brightness: 32%
2023-11-09 06:32:41 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:32:42 - Device: Living room Light, Status: False, Brightness: 0%
2023-11-09 06:32:42 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:32:42 - Device: Living room Light, Status: True, Brightness: 71%
2023-11-09 06:32:42 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:32:44 - Device: Living room Light, Status: True, Brightness: 30%
2023-11-09 06:32:44 - Device: Living room Thermostat, Status: True, Temperature: 94C
2023-11-09 06:32:44 - Device: Living room Light, Status: True, Brightness: 30%
2023-11-09 06:32:44 - Device: Living room Thermostat, Status: True, Temperature: 94C
